,u1,u2,u2
buffer,-2.50E-05,-2.50E-05,-2.50E-05
emission1,0.000140337,0.000530473,-0.000961402
emission2,-0.084512561,0.000193274,-0.034878022
emission3,-2.59954E-05,-0.001509757,0.000402693
 (u(t))[1],0,0,0
 (u(t))[1]^2,0,0,0
 (u(t))[1]^3,0.000133205,0,0
 (u(t))[2],0,0,0
 (u(t))[1]*(u(t))[2],0,0,0
 ((u(t))[1]^2)*(u(t))[2],0,0,0
 (u(t))[2]^2,0,0,0
 ((u(t))[2]^2)*(u(t))[1],0,0.00087524,0.000276296
 (u(t))[2]^3,0.004140257,0.000951933,0.015289658
 (u(t))[3],0,0,0
 (u(t))[1]*(u(t))[3],0,0,0
 ((u(t))[1]^2)*(u(t))[3],0,0,0
 (u(t))[2]*(u(t))[3],0,0,0
 (u(t))[1]*(u(t))[2]*(u(t))[3],0,-0.002245274,-0.000552266
 ((u(t))[2]^2)*(u(t))[3],-0.013350635,-0.006232409,-0.031021508
 (u(t))[3]^2,0,0,0
 ((u(t))[3]^2)*(u(t))[1],0,0.001580765,0.000294157
 ((u(t))[3]^2)*(u(t))[2],0.014256388,-0.000866642,0.02996446
 (u(t))[3]^3,-0.002998676,-0.034416411,0.015746215
 press*tempk,0.000302426,0,0.000129197
 press*tempk*(u(t))[1],-0.000238532,0,-9.83E-05
 press*tempk*((u(t))[1]^2),0,0,0
 press*tempk*(u(t))[2],0,0,0
 press*tempk*(u(t))[1]*(u(t))[2],0,0,0
 press*tempk*((u(t))[2]^2),0,0,0
 press*tempk*(u(t))[3],0,0,0
 press*tempk*(u(t))[1]*(u(t))[3],0,0,0
 press*tempk*(u(t))[2]*(u(t))[3],0,0,6.84E-05
 press*tempk*((u(t))[3]^2),0,0,-5.79E-05
 hv,0,0.006076896,-0.006167278
 hv*(u(t))[1],0,0.00023296,0.000185097
 hv*((u(t))[1]^2),0,0,0
 hv*(u(t))[2],0.002778896,-0.015569198,0.026215915
 hv*(u(t))[1]*(u(t))[2],0,-0.001160901,-0.000125573
 hv*((u(t))[2]^2),-0.004595275,-0.008164743,-0.017004855
 hv*(u(t))[3],-0.001811391,-0.002188497,-0.013587148
 hv*(u(t))[1]*(u(t))[3],0,0.001113011,0.000592866
 hv*(u(t))[2]*(u(t))[3],0.012380522,-0.02824794,0.04146502
 hv*((u(t))[3]^2),-0.005572064,-0.026953527,0.021190034
